Year,Week,MMWRWeekCode,Date,Deaths,baseline_1819_week,Excess_calc,Excess_TES,diff_calc_vs_TES,diff_pct_of_baseline
2022,7,2022/07,2022-02-19,379,436.5,-57.5,29.631,-87.131,-19.961282932417
2022,8,2022/08,2022-02-26,431,421.5,9.5,25.474,-15.974,-3.78979833926453
2022,9,2022/09,2022-03-05,361,436.5,-75.5,22,-97.5,-22.3367697594502
2022,10,2022/10,2022-03-12,365,440,-75,24.514,-99.514,-22.6168181818182
2022,11,2022/11,2022-03-19,431,414,17,29.631,-12.631,-3.05096618357488
2022,12,2022/12,2022-03-26,371,441.5,-70.5,32.509,-103.009,-23.3315968289921
2022,13,2022/13,2022-04-02,383,411.5,-28.5,31.55,-60.05,-14.5929526123937
2022,14,2022/14,2022-04-09,354,399,-45,33.149,-78.149,-19.5862155388471
2022,15,2022/15,2022-04-16,395,409,-14,37.946,-51.946,-12.7007334963325
2022,16,2022/16,2022-04-23,411,441,-30,39.545,-69.545,-15.7698412698413
2022,17,2022/17,2022-04-30,383,401.5,-18.5,38.905,-57.405,-14.2976338729763
2022,18,2022/18,2022-05-07,386,421.5,-35.5,42.103,-77.603,-18.4111506524318
2022,19,2022/19,2022-05-14,406,433.5,-27.5,47.22,-74.72,-17.2364475201845
2022,20,2022/20,2022-05-21,405,407.5,-2.5,50.418,-52.918,-12.9860122699387
2022,21,2022/21,2022-05-28,394,409,-15,49.459,-64.459,-15.7601466992665
2022,22,2022/22,2022-06-04,407,426,-19,50.418,-69.418,-16.2953051643193
2022,23,2022/23,2022-06-11,419,409.5,9.5,55.215,-45.715,-11.1636141636142
2022,24,2022/24,2022-06-18,389,418,-29,53.936,-82.936,-19.8411483253589
2022,25,2022/25,2022-06-25,420,403,17,58.733,-41.733,-10.3555831265509
2022,26,2022/26,2022-07-02,409,404,5,60.652,-55.652,-13.7752475247525
2022,27,2022/27,2022-07-09,390,417.5,-27.5,59.053,-86.553,-20.7312574850299
2022,28,2022/28,2022-07-16,411,407,4,63.85,-59.85,-14.7051597051597
2022,29,2022/29,2022-07-23,385,404.5,-19.5,64.809,-84.309,-20.8427688504326
